Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.82452E-12,0.000000002,0.000000002,0.8,0,0
1.22108E-11,0.000000003,0.000000002,0.797979798,0,0
4.3826E-11,0.000000011,0.000000007,0.791919192,0,0
1.31458E-10,0.000000033,0.000000022,0.785858586,0,0
3.50006E-10,0.000000111,0.000000059,0.77979798,0,0
1.31313E-9,0.000000373,0.00000022,0.775757576,0,0
9.37555E-9,0.00000145,0.00000157,0.771717172,0,0
1.10015E-8,0.00000255,0.000001842,0.76969697,0,0
2.26472E-8,0.000011779,0.000003792,0.75959596,0,0
3.99418E-8,0.000025813,0.000006687,0.751515152,0,0
9.45396E-8,0.000055371,0.000015828,0.743434343,0,0
1.7663E-7,0.000107384,0.000029571,0.735353535,0,0
4.20049E-7,0.000289359,0.000070322,0.723232323,0,0
8.01399E-7,0.00053827,0.000134156,0.715151515,0,0
1.85782E-6,0.00106722,0.000310948,0.707070707,0,0
3.64161E-6,0.00270669,0.000609323,0.694949495,0,0
7.33477E-6,0.005399741,0.001226515,0.684848485,0,0
1.70332E-5,0.011313103,0.002843666,0.674747475,0,0
3.45878E-5,0.027235832,0.005757513,0.662626263,0,0
5.10313E-5,0.054756079,0.00847151,0.650505051,0,0
8.52779E-5,0.104737119,0.014076641,0.636363636,0,0
1.66689E-4,0.208663633,0.027150185,0.618181818,0,0
2.32729E-4,0.307415509,0.037503221,0.608080808,0,0
3.00697E-4,0.418250941,0.047930955,0.6,0,0
3.15625E-4,0.511243255,0.050191105,0.593939394,0,0
3.25869E-4,0.607694087,0.051735809,0.587878788,0,0
3.48268E-4,0.710374484,0.055096121,0.581818182,0,0
3.57335E-4,0.781103572,0.05644955,0.577777778,0,0
3.63321E-4,0.817435685,0.057340908,0.575757576,0,0
3.75166E-4,0.928308993,0.059099878,0.56969697,0,0
3.82589E-4,1.004325367,0.060198738,0.565656566,0,0
3.86321E-4,1.119685232,0.06075031,0.55959596,0,0
3.92714E-4,1.236613522,0.061693567,0.553535354,0,0
3.96277E-4,1.315846759,0.062218507,0.549494949,0,0
4.03196E-4,1.435598273,0.063236169,0.543434343,0,0
4.08607E-4,1.517283491,0.064030451,0.539393939,0,0
4.44868E-4,1.777848962,0.069318799,0.527272727,0,0
4.75024E-4,2.007685001,0.073671548,0.517171717,0,0
4.94384E-4,2.299363996,0.0764446,0.505050505,0,0
5.14957E-4,2.50059648,0.079373235,0.496969697,0,0
5.63367E-4,2.772869452,0.086191706,0.486868687,0,0
5.96129E-4,3.007334128,0.09074928,0.478787879,0,0
6.28595E-4,3.252009946,0.095221031,0.470707071,0,0
6.46604E-4,3.507731326,0.097682533,0.462626263,0.016666667,0
6.68643E-4,3.771788382,0.100676831,0.454545455,0.016666667,0
6.8953E-4,4.044552029,0.103496227,0.446464646,0.016666667,0
7.47746E-4,4.263548933,0.1112621,0.44040404,0.016666667,0
7.93484E-4,4.575892325,0.117269647,0.432323232,0.016666667,0
