Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.74106E-12,0.000000001,0,0.941414141,0,0
3.38207E-12,0.000000003,0,0.927272727,0,0
1.15028E-11,0.00000001,0.000000002,0.903030303,0,0
3.48207E-11,0.000000028,0.000000005,0.886868687,0,0
1.1311E-10,0.0000001,0.000000016,0.866666667,0,0
4.91148E-10,0.000000252,0.000000072,0.854545455,0,0
3.81121E-9,0.000001376,0.000000555,0.84040404,0,0
6.36406E-9,0.000003074,0.000000927,0.834343434,0,0
2.94754E-8,0.000010495,0.000004291,0.824242424,0,0
1.36474E-7,0.000033288,0.00001987,0.818181818,0,0
1.66967E-7,0.000066154,0.000024309,0.814141414,0,0
3.60296E-7,0.000102183,0.000052455,0.812121212,0,0
6.73802E-7,0.000275931,0.000098093,0.806060606,0,0
1.93367E-6,0.000621219,0.000281455,0.802020202,0,0
2.35875E-6,0.001086091,0.000343306,0.797979798,0,0
4.8065E-6,0.002564574,0.000699317,0.78989899,0,0
6.56594E-6,0.005399099,0.00095506,0.77979798,0,0
1.19872E-5,0.010312428,0.00174224,0.76969697,0,0
1.78091E-5,0.026089067,0.002586229,0.749494949,0,0
2.55928E-5,0.050646811,0.003712376,0.727272727,0,0
5.90452E-5,0.105086928,0.008523463,0.698989899,0,0
9.3914E-5,0.201024947,0.013489052,0.674747475,0,0
1.25265E-4,0.305427256,0.017911395,0.656565657,0,0
1.39782E-4,0.410937182,0.019945756,0.64040404,0,0
1.53465E-4,0.501040662,0.021855555,0.628282828,0,0
1.66026E-4,0.612884041,0.023602153,0.614141414,0,0
1.80976E-4,0.716987329,0.025672918,0.602020202,0,0
1.88251E-4,0.754311754,0.026677373,0.597979798,0,0
1.96185E-4,0.812275279,0.027770482,0.591919192,0,0
2.04178E-4,0.913444246,0.028869322,0.581818182,0,0
2.23149E-4,1.022276566,0.031467209,0.571717172,0,0
2.26897E-4,1.112517054,0.031978862,0.563636364,0,0
2.3389E-4,1.204665209,0.032931935,0.555555556,0,0
2.44365E-4,1.301042403,0.034356129,0.547474747,0,0
2.58096E-4,1.401265842,0.036216725,0.539393939,0,0
2.7041E-4,1.508303218,0.037879225,0.531313131,0,0
3.01776E-4,1.767152223,0.042088087,0.513131313,0,0
3.15633E-4,2.013574924,0.04393575,0.496969697,0,0
3.54913E-4,2.253248573,0.04913488,0.482828283,0,0
3.72111E-4,2.509290877,0.05139343,0.468686869,0.016666667,0
4.22427E-4,2.791288437,0.057940089,0.454545455,0.016666667,0
4.72156E-4,3.011841822,0.064322231,0.444444444,0.016666667,0
4.87514E-4,3.298336593,0.066275706,0.432323232,0.016666667,0
5.4116E-4,3.508760347,0.073036144,0.424242424,0.016666667,0
5.53038E-4,3.78392687,0.074519717,0.414141414,0.016666667,0
5.95092E-4,4.014743761,0.079734548,0.406060606,0.033333333,0
6.10526E-4,4.256929291,0.081633643,0.397979798,0.033333333,0
6.55144E-4,4.510439452,0.08707997,0.38989899,0.033333333,0
7.35058E-4,4.794842206,0.09667507,0.381818182,0.033333333,0
7.99636E-4,5.028388712,0.104282698,0.375757576,0.033333333,0
8.38796E-4,5.276404456,0.108833835,0.36969697,0.05,0
8.79206E-4,5.535793519,0.11348206,0.363636364,0.05,0
8.98243E-4,5.80309206,0.115655016,0.357575758,0.05,0
9.56809E-4,6.086176026,0.122273822,0.351515152,0.05,0
9.59322E-4,6.277883665,0.122555566,0.347474747,0.05,0
9.8147E-4,6.570477618,0.125031247,0.341414141,0.05,0
9.82837E-4,6.766961109,0.125183602,0.337373737,0.05,0
1.00285E-3,7.06573947,0.127408113,0.331313131,0.05,0
1.00515E-3,7.266730968,0.127662231,0.327272727,0.05,0
1.01124E-3,7.56920592,0.128336506,0.321212121,0.066666667,0
1.0437E-3,7.775305664,0.131913369,0.317171717,0.066666667,0
1.0579E-3,8.091574449,0.133467755,0.311111111,0.066666667,0
1.07857E-3,8.30676424,0.135722055,0.307070707,0.066666667,0
1.09003E-3,8.523870336,0.136966244,0.303030303,0.066666667,0
1.11013E-3,8.855654306,0.139140925,0.296969697,0.066666667,0
1.15943E-3,9.083336791,0.144427343,0.292929293,0.066666667,0
1.18618E-3,9.318696806,0.147269248,0.288888889,0.066666667,0
1.22024E-3,9.561043332,0.150860042,0.284848485,0.066666667,0
1.24329E-3,9.80753617,0.153273168,0.280808081,0.066666667,0
1.25714E-3,10.058916097,0.154716097,0.276767677,0.066666667,0
1.29898E-3,10.318082081,0.1590459,0.272727273,0.066666667,0
1.40798E-3,10.598971959,0.170122006,0.268686869,0.066666667,0
1.45772E-3,10.889178338,0.175079319,0.264646465,0.066666667,0
1.47451E-3,11.036628843,0.176739135,0.262626263,0.083333333,0
1.51297E-3,11.337199348,0.180517707,0.258585859,0.083333333,0
1.53348E-3,11.641903996,0.182517809,0.254545455,0.083333333,0
1.55265E-3,11.797168674,0.184378515,0.252525253,0.083333333,0
1.64387E-3,12.12397054,0.193119287,0.248484848,0.083333333,0
1.66511E-3,12.290481713,0.195127854,0.246464646,0.083333333,0
1.73949E-3,12.633476196,0.202082333,0.242424242,0.083333333,0
1.76253E-3,12.809729148,0.204212568,0.24040404,0.083333333,0
1.7839E-3,13.165505694,0.206178192,0.236363636,0.083333333,0
1.79685E-3,13.345190442,0.20736424,0.234343434,0.083333333,0
1.88923E-3,13.521354266,0.215725659,0.232323232,0.083333333,0
1.96036E-3,13.922284417,0.222043929,0.228282828,0.1,0
