X,Y,GadusMacrocephalus_PA1_RUN2 logistic values
-178.5,72.5,0.29338792
-174.5,70.5,0.3771511
-177.5,69.5,0.40755436
-175.5,69.5,0.39077386
-174.5,69.5,0.39975744
-173.5,69.5,0.40829387
-172.5,69.5,0.41721067
-170.5,69.5,0.43799245
-176.5,68.5,0.39439276
-172.5,68.5,0.43515453
-171.5,68.5,0.44634628
-167.5,68.5,0.5177227
-170.5,67.5,0.4758134
-169.5,67.5,0.4909393
-168.5,67.5,0.50939476
-169.5,66.5,0.50473464
-169.5,64.5,0.48232993
-179.5,63.5,0.64875996
-178.5,63.5,0.5959674
-167.5,63.5,0.67222416
-176.5,62.5,0.58361274
-173.5,62.5,0.59654355
-166.5,62.5,0.7131909
-178.5,61.5,0.592048
-174.5,61.5,0.6085491
-170.5,61.5,0.63300157
-169.5,61.5,0.64232504
-167.5,61.5,0.6763153
-166.5,61.5,0.7081384
-167.5,60.5,0.669116
178.5,60.5,0.14368458
157.5,59.5,0.5411587
173.5,59.5,0.0862333
174.5,59.5,0.07291835
-179.5,58.5,0.069949605
-145.5,58.5,0.20434877
155.5,58.5,0.5119864
156.5,58.5,0.5426409
165.5,58.5,0.04719577
168.5,58.5,0.08584482
173.5,58.5,0.09320926
-179.5,57.5,0.3221633
-141.5,57.5,0.29991242
-140.5,57.5,0.34099013
147.5,57.5,0.5852558
154.5,57.5,0.50384444
155.5,57.5,0.5581358
169.5,57.5,0.28481653
170.5,57.5,0.27559522
171.5,57.5,0.5158741
175.5,57.5,0.31404552
176.5,57.5,0.20504299
-179.5,56.5,0.31244227
-178.5,56.5,0.31984335
-176.5,56.5,0.34162974
-146.5,56.5,0.7538332
-142.5,56.5,0.27689543
-138.5,56.5,0.3542134
142.5,56.5,0.63894534
143.5,56.5,0.6368407
144.5,56.5,0.57747895
145.5,56.5,0.5899068
146.5,56.5,0.5657857
147.5,56.5,0.551538
153.5,56.5,0.40320948
154.5,56.5,0.57656556
164.5,56.5,0.06444304
165.5,56.5,0.08754549
169.5,56.5,0.27512172
170.5,56.5,0.74558336
171.5,56.5,0.29460484
174.5,56.5,0.30556902
177.5,56.5,0.30301204
-175.5,55.5,0.33864197
-173.5,55.5,0.3934025
-172.5,55.5,0.4058216
-171.5,55.5,0.44019628
-152.5,55.5,0.10870157
-150.5,55.5,0.20291786
-146.5,55.5,0.2289387
-144.5,55.5,0.23255625
-143.5,55.5,0.25474298
-142.5,55.5,0.2519165
-140.5,55.5,0.30399755
-139.5,55.5,0.32022387
-138.5,55.5,0.3658356
144.5,55.5,0.60044277
146.5,55.5,0.5894359
148.5,55.5,0.5220542
151.5,55.5,0.53737026
152.5,55.5,0.5365159
154.5,55.5,0.580351
165.5,55.5,0.84924066
168.5,55.5,0.34739703
