GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS943076375	2020-06-15 00:45:27	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			10				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	1989-12-04	06:40:00	obsr355303	S69877284	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS942500854	2020-06-14 04:03:29	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					PN El Rey (AICA SA08)	L4815195	H	-24.7000000	-64.6333330	1989-12-02	06:45:00	obsr355303	S70412678	Historical	P62	EBIRD				5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS683238144	2020-07-17 12:34:17	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	1992-11-15		obsr548743	S50461522	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS345157086	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					PN El Rey (AICA SA08)	L4815195	H	-24.7000000	-64.6333330	2000-10-29		obsr352910	S25227991	Historical	P62	EBIRD				10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS344999625	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2000-10-28		obsr352910	S25214451	Historical	P62	EBIRD				10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS281366050	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2004-11-20	06:00:00	obsr543821	S20588310	Traveling	P22	EBIRD	720	10.000		8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS517942034	2021-03-30 13:13:40.141233	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			12				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					PN El Rey (AICA SA08)	L4815195	H	-24.7000000	-64.6333330	2007-11-19	07:00:00	obsr60864	S38088652	Traveling	P22	EBIRD	300	5.000		4	1	G2531406	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS517869075	2021-03-30 13:13:40.141233	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			12				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					PN El Rey (AICA SA08)	L4815195	H	-24.7000000	-64.6333330	2007-11-19	07:00:00	obsr104040	S38083118	Traveling	P22	EBIRD	300	5.000		4	1	G2531406	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS222883853	2021-03-30 13:13:40.141233	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Salta Forestal (AICA SA20)	L846894	H	-24.9639614	-63.8571739	2007-11-26	06:00:00	obsr340851	S16102033	Traveling	P22	EBIRD	360	60.000		6	1	G4716158	0	1	0			abundant	
URN:CornellLabOfOrnithology:EBIRD:OBS834149498	2021-03-30 13:13:40.141233	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Salta Forestal (AICA SA20)	L846894	H	-24.9639614	-63.8571739	2007-11-26	06:00:00	obsr893357	S61930553	Traveling	P22	EBIRD	360	60.000		6	1	G4716158	0	1	0			abundant	
URN:CornellLabOfOrnithology:EBIRD:OBS86769663	2021-03-25 04:14:24.595429	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-10-16	18:00:00	obsr119128	S6075785	Incidental	P20	EBIRD	90			6	1	G150461	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS83358584	2021-03-25 04:14:24.595429	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-10-16	18:00:00	obsr122234	S5883705	Incidental	P20	EBIRD	90			6	1	G150461	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS961165382	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2009-11-14	05:30:00	obsr137063	S71870072	Traveling	P22	EBIRD	480	35.000		3	1		0	1	0		From El Quebrachal (Rio Salado) to Las Lajitas (Rio del Vaille) [Chaco Country]		
URN:CornellLabOfOrnithology:EBIRD:OBS636534983	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-11-11		obsr334177	S46949317	Historical	P62	EBIRD					1	G4719752	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS636528804	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-11-09		obsr334177	S46948880	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS834553000	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-11-11		obsr967176	S61962732	Historical	P62	EBIRD					1	G4719752	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS636532114	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2009-11-10		obsr334177	S46949117	Historical	P62	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS662337653	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Apolinario Saravia - Luis Burela - RP 130	L7979005	P	-24.3809485	-63.8835927	2009-12-28	08:00:00	obsr496887	S48872276	Traveling	P22	EBIRD	180	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS482065978	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2011-10-29		obsr365238	S35702109	Historical	P62	EBIRD_QC				7	1	G2305441	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS639961351	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-30	08:00:00	obsr795598	S47209633	Historical	P62	EBIRD_ARG	180			12	1		0	1	0		Tour de Cactus expedition. Caminos rurales cercanos a Joaquin V Gonzalez.		
URN:CornellLabOfOrnithology:EBIRD:OBS478745120	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-28		obsr626098	S35423611	Historical	P62	EBIRD_QC				7	1	G2305442	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS685307090	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-28		obsr505951	S50625723	Historical	P62	EBIRD_QC				7	1	G2305442	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS685306989	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2011-10-29		obsr505951	S50625722	Historical	P62	EBIRD_QC				7	1	G2305441	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1111530227	2021-04-04 11:03:21.700222	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-28		obsr536173	S84755573	Historical	P62	EBIRD_QC				7	1	G2305442	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS482066171	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-28		obsr365238	S35702115	Historical	P62	EBIRD_QC				7	1	G2305442	0	1	0		Observations dans la région		
URN:CornellLabOfOrnithology:EBIRD:OBS480399365	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2011-10-29		obsr536173	S35562649	Historical	P62	EBIRD_QC				7	1	G2305441	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS480305646	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2011-10-29		obsr457777	S35554594	Historical	P62	EBIRD_QC				7	1	G2305441	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS480305757	2021-04-04 09:34:03.717489	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2011-10-28		obsr457777	S35554596	Historical	P62	EBIRD_QC				7	1	G2305442	0	1	0		Observations dans la région		
URN:CornellLabOfOrnithology:EBIRD:OBS479052438	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			X				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Lajitas	L5620443	H	-24.7341044	-64.2057831	2011-10-29		obsr626098	S35458299	Historical	P62	EBIRD_QC				7	1	G2305441	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS960101835	2020-08-09 10:13:44	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2012-12-10	07:30:00	obsr1813968	S71789721	Traveling	P22	EBIRD	360	70.000		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS960074288	2021-03-31 05:45:27.022989	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			20				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Joaquín V. González	L847524	H	-25.1272576	-64.1168976	2012-12-08	07:30:00	obsr1813968	S71787473	Traveling	P22	EBIRD	600	80.000		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS278086043	2018-12-28 17:27:07	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					J.V.Gonzalez: Finca Las Catitas	L3137453	P	-25.0858900	-64.5974000	2014-10-25	17:00:00	obsr17450	S20350007	Traveling	P22	EBIRD	60	1.000		14	1	G1036295	0	1	0		Field Guides tour led by Dave Stejskal		
URN:CornellLabOfOrnithology:EBIRD:OBS771060493	2019-06-04 12:47:32	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					J.V.Gonzalez: Finca Las Catitas	L3137453	P	-25.0858900	-64.5974000	2014-10-25	17:00:00	obsr38671	S57080929	Traveling	P22	EBIRD	60	1.000		14	1	G1036295	0	1	0		Field Guides tour led by Dave Stejskal		
URN:CornellLabOfOrnithology:EBIRD:OBS282339665	2018-09-27 18:29:33	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			4				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					RP41 km 55	L3177458	P	-24.9281628	-63.6468887	2014-10-26	17:40:00	obsr425850	S20658949	Traveling	P22	EBIRD	160	0.322		14	1	G1054555	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS279829255	2019-04-11 10:14:30	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			1				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Catitas road	L3180569	P	-25.0857080	-64.0597183	2014-10-25	17:00:00	obsr139228	S20477187	Traveling	P22	EBIRD	90	0.644		14	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS281976726	2018-09-27 18:29:33	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			5				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Las Catitas entrance road	L3172807	P	-25.0854434	-64.0599918	2014-10-25	17:00:00	obsr338435	S20633288	Traveling	P22	EBIRD	90	1.287		14	1	G1051036	0	1	0		Field Guides trip. Dave Stejskal and Willy Perez leaders.		
URN:CornellLabOfOrnithology:EBIRD:OBS771060376	2019-06-04 12:47:25	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			2				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					Salta: Route 41 km 56	L3138238	P	-24.9304390	-63.6541367	2014-10-26	17:50:00	obsr38671	S57080922	Stationary	P21	EBIRD	60			14	1	G1036298	0	1	0		Field Guides tour led by Dave Stejskal		
URN:CornellLabOfOrnithology:EBIRD:OBS282984682	2018-09-27 18:29:33	16668	species	Crowned Slaty Flycatcher	Empidonomus aurantioatrocristatus			5				Argentina	AR	Salta	AR-A	Anta	AR-A-AN					RP41 km 55	L3177458	P	-24.9281628	-63.6468887	2014-10-27	08:10:00	obsr338435	S20707457	Traveling	P22	EBIRD	95	1.287		14	1	G1056310	0	1	0		Field Guides trip.  Dave Stejskal and Willy Perez leaders.		
